Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
59,2025,1,3,10,0,3,600,60,10487.18000000,667.64000000,1163.04000000,8656.51000000,0.00000000,0.00000000,1198.40000000,8656.51000000,0.00000000,10487.18000000,0.00000000,0.00000000,10487.18000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
60,2025,1,3,11,0,3,660,60,10395.02000000,659.43000000,1458.18000000,8901.96000000,0.00000000,624.54000000,1747.99000000,8277.42000000,0.00000000,10395.02000000,0.00000000,0.00000000,10395.02000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
61,2025,1,3,12,0,3,720,60,10282.85000000,645.77000000,1635.45000000,8670.49000000,0.00000000,668.86000000,2336.59000000,8001.62000000,0.00000000,10282.85000000,0.00000000,0.00000000,10282.85000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
62,2025,1,3,13,0,3,780,60,10195.40000000,627.26000000,1577.01000000,8645.39000000,0.00000000,654.25000000,2912.34000000,7991.13000000,0.00000000,10195.40000000,0.00000000,0.00000000,10195.40000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
63,2025,1,3,14,0,3,840,60,10154.11000000,604.75000000,1220.72000000,8893.81000000,0.00000000,565.18000000,3409.69000000,8328.63000000,0.00000000,10154.11000000,0.00000000,0.00000000,10154.11000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
64,2025,1,3,15,0,3,900,60,10170.14000000,579.39000000,719.63000000,9311.03000000,0.00000000,439.91000000,3796.81000000,8871.12000000,0.00000000,10170.14000000,0.00000000,0.00000000,10170.14000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
65,2025,1,3,16,0,3,960,60,10262.06000000,552.47000000,264.64000000,9444.95000000,0.00000000,0.00000000,3796.81000000,9444.95000000,0.00000000,10262.06000000,0.00000000,0.00000000,10262.06000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
66,2025,1,3,17,0,3,1020,60,10448.10000000,525.36000000,0.00000000,9922.74000000,0.00000000,0.00000000,3796.81000000,9922.74000000,0.00000000,10448.10000000,0.00000000,0.00000000,10448.10000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
67,2025,1,3,18,0,3,1080,60,10707.03000000,499.46000000,0.00000000,9936.00000000,0.00000000,0.00000000,3796.81000000,10207.57000000,0.00000000,10435.46000000,271.57000000,0.00000000,10707.03000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
68,2025,1,3,19,0,3,1140,60,10947.87000000,476.08000000,0.00000000,9271.79000000,1200.00000000,0.00000000,2433.18000000,10471.79000000,0.00000000,10947.87000000,0.00000000,0.00000000,10947.87000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
69,2025,1,3,20,0,3,1200,60,11047.75000000,456.35000000,0.00000000,9391.40000000,1200.00000000,0.00000000,1069.54000000,10591.40000000,0.00000000,11047.75000000,0.00000000,0.00000000,11047.75000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
70,2025,1,3,21,0,3,1260,60,10947.84000000,441.16000000,0.00000000,9936.00000000,0.00000000,0.00000000,1069.54000000,10506.69000000,0.00000000,10377.16000000,570.68000000,0.00000000,10947.84000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
71,2025,1,3,22,0,3,1320,60,10706.87000000,431.12000000,0.00000000,9936.00000000,0.00000000,0.00000000,1069.54000000,10275.75000000,0.00000000,10367.12000000,339.75000000,0.00000000,10706.87000000,0.00000000,2,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
72,2025,1,3,23,0,3,1380,60,10447.23000000,426.49000000,0.00000000,9936.00000000,0.00000000,0.00000000,1069.54000000,10020.74000000,0.00000000,10362.49000000,84.74000000,0.00000000,10447.23000000,0.00000000,2,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
73,2025,1,4,0,0,4,0,60,9460.23000000,467.08000000,0.00000000,8993.15000000,0.00000000,0.00000000,1069.54000000,8993.15000000,0.00000000,9460.23000000,0.00000000,0.00000000,9460.23000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
74,2025,1,4,1,0,4,60,60,9377.33000000,479.28000000,0.00000000,8898.04000000,0.00000000,0.00000000,1069.54000000,8898.04000000,0.00000000,9377.33000000,0.00000000,0.00000000,9377.33000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
